"Date","Time","NOx"
"14-03"," 23-24",34.22
"14-03"," 22-23",25.18
"14-03"," 21-22",34.7
"14-03"," 20-21",35.03
"14-03"," 19-20",37.21
"14-03"," 18-19",36.37
"14-03"," 17-18",34.94
"14-03"," 16-17",42.18
"14-03"," 15-16",37.76
"14-03"," 14-15",45.9
"14-03"," 13-14",20.95
"14-03"," 12-13",38.45
"14-03"," 11-12",41.79
"14-03"," 10-11",53.14
"14-03","  9-10",67.27
"14-03","  8- 9",38.43
"14-03","  7- 8",48.14
"14-03","  6- 7",30.04
"14-03","  5- 6",15.18
"14-03","  4- 5",13.5
"14-03","  3- 4",12.12
"14-03","  2- 3",13.68
"14-03","  1- 2",16.83
"14-03","  0- 1",23.39
"13-03"," 23-24",56.05
"13-03"," 22-23",63.55
"13-03"," 21-22",42.38
"13-03"," 20-21",62.71
"13-03"," 19-20",130.67
"13-03"," 18-19",177.3
"13-03"," 17-18",152.85
"13-03"," 16-17",131.7
"13-03"," 15-16",82.78
"13-03"," 14-15",50.82
"13-03"," 13-14",59.83
"13-03"," 12-13",64.16
"13-03"," 11-12",58.9
"13-03"," 10-11",66.39
"13-03","  9-10",56.19
"13-03","  8- 9",42.17
"13-03","  7- 8",28.55
"13-03","  6- 7",25.48
"13-03","  5- 6",32.99
"13-03","  4- 5",32.92
"13-03","  3- 4",41.19
"13-03","  2- 3",40.56
"13-03","  1- 2",39.43
"13-03","  0- 1",24.5
"12-03"," 23-24",51.63
"12-03"," 22-23",51.45
"12-03"," 21-22",109.75
"12-03"," 20-21",36.7
"12-03"," 19-20",49.74
"12-03"," 18-19",29.05
"12-03"," 17-18",64.37
"12-03"," 16-17",65.75
"12-03"," 15-16",78.7
"12-03"," 14-15",59.44
"12-03"," 13-14",78.83
"12-03"," 12-13",72.65
"12-03"," 11-12",70.67
"12-03"," 10-11",73.09
"12-03","  9-10",72.1
"12-03","  8- 9",57.61
"12-03","  7- 8",33.72
"12-03","  6- 7",32.22
"12-03","  5- 6",28.06
"12-03","  4- 5",24.36
"12-03","  3- 4",25.83
"12-03","  2- 3",24.83
"12-03","  1- 2",40.63
"12-03","  0- 1",49.57
"11-03"," 23-24",66.19
"11-03"," 22-23",79.67
"11-03"," 21-22",58.49
"11-03"," 20-21",98.3
"11-03"," 19-20",107.34
"11-03"," 18-19",119.81
"11-03"," 17-18",163.21
"11-03"," 16-17",151.42
"11-03"," 15-16",166.67
"11-03"," 14-15",186.6
"11-03"," 13-14",181.61
"11-03"," 12-13",168.44
"11-03"," 11-12",213.83
"11-03"," 10-11",213.8
"11-03","  9-10",205.54
"11-03","  8- 9",243.67
"11-03","  7- 8",224.58
"11-03","  6- 7",179.26
"11-03","  5- 6",62.43
"11-03","  4- 5",35.19
"11-03","  3- 4",40.59
"11-03","  2- 3",26.94
"11-03","  1- 2",28.17
"11-03","  0- 1",29.68
"10-03"," 23-24",51.27
"10-03"," 22-23",86.19
"10-03"," 21-22",116.12
"10-03"," 20-21",150.99
"10-03"," 19-20",201.33
"10-03"," 18-19",140.11
"10-03"," 17-18",139.79
"10-03"," 16-17",171.97
"10-03"," 15-16",256.54
"10-03"," 14-15",120.39
"10-03"," 13-14",159.41
"10-03"," 12-13",160.13
"10-03"," 11-12",204.37
"10-03"," 10-11",207.05
"10-03","  9-10",252.23
"10-03","  8- 9",257.49
"10-03","  7- 8",220.79
"10-03","  6- 7",108.8
"10-03","  5- 6",48.35
"10-03","  4- 5",21.7
"10-03","  3- 4",11.77
"10-03","  2- 3",10.42
"10-03","  1- 2",14.78
"10-03","  0- 1",25.59
"09-03"," 23-24",48.72
"09-03"," 22-23",77.94
"09-03"," 21-22",101.97
"09-03"," 20-21",120.16
"09-03"," 19-20",116.4
"09-03"," 18-19",125.91
"09-03"," 17-18",142.59
"09-03"," 16-17",131.77
"09-03"," 15-16",161.37
"09-03"," 14-15",119.42
"09-03"," 13-14",125.32
"09-03"," 12-13",133.31
"09-03"," 11-12",120.93
"09-03"," 10-11",145.3
"09-03","  9-10",230.14
"09-03","  8- 9",268.05
"09-03","  7- 8",285.81
"09-03","  6- 7",222.93
"09-03","  5- 6",133.16
"09-03","  4- 5",71.82
"09-03","  3- 4",36.11
"09-03","  2- 3",33.74
"09-03","  1- 2",27.96
"09-03","  0- 1",41.72
"08-03"," 23-24",42.53
"08-03"," 22-23",62.32
"08-03"," 21-22",98.16
"08-03"," 20-21",114.65
"08-03"," 19-20",151.2
"08-03"," 18-19",169.47
"08-03"," 17-18",129.15
"08-03"," 16-17",128.78
"08-03"," 15-16",147.44
"08-03"," 14-15",186.52
"08-03"," 13-14",134.17
"08-03"," 12-13",88.14
"08-03"," 11-12",98.7
"08-03"," 10-11",149.01
"08-03","  9-10",209.69
"08-03","  8- 9",237.42
"08-03","  7- 8",294.53
"08-03","  6- 7",213.64
"08-03","  5- 6",59.22
"08-03","  4- 5",18.5
"08-03","  3- 4",24.47
"08-03","  2- 3",21.77
"08-03","  1- 2",42.22
"08-03","  0- 1",38.93
"07-03"," 23-24",46.29
"07-03"," 22-23",63.96
"07-03"," 21-22",64.18
"07-03"," 20-21",73.66
"07-03"," 19-20",81.26
"07-03"," 18-19",103.52
"07-03"," 17-18",97.43
"07-03"," 16-17",103.94
"07-03"," 15-16",120.47
"07-03"," 14-15",115.52
"07-03"," 13-14",100.21
"07-03"," 12-13",119.32
"07-03"," 11-12",140.26
"07-03"," 10-11",156.76
"07-03","  9-10",156.44
"07-03","  8- 9",187.3
"07-03","  7- 8",214.48
"07-03","  6- 7",158.15
"07-03","  5- 6",66.42
"07-03","  4- 5",28.51
"07-03","  3- 4",24.56
"07-03","  2- 3",23.36
"07-03","  1- 2",28.41
"07-03","  0- 1",53.51
"06-03"," 23-24",44.53
"06-03"," 22-23",42.89
"06-03"," 21-22",42.63
"06-03"," 20-21",52.84
"06-03"," 19-20",95.13
"06-03"," 18-19",110.11
"06-03"," 17-18",98.14
"06-03"," 16-17",117.11
"06-03"," 15-16",102.6
"06-03"," 14-15",113.14
"06-03"," 13-14",111.77
"06-03"," 12-13",131.85
"06-03"," 11-12",115.7
"06-03"," 10-11",82.72
"06-03","  9-10",58.04
"06-03","  8- 9",29.53
"06-03","  7- 8",26.7
"06-03","  6- 7",27.5
"06-03","  5- 6",22.66
"06-03","  4- 5",33.5
"06-03","  3- 4",32.23
"06-03","  2- 3",28.76
"06-03","  1- 2",31.53
"06-03","  0- 1",33.38
"05-03"," 23-24",43.72
"05-03"," 22-23",40.98
"05-03"," 21-22",44.76
"05-03"," 20-21",45.64
"05-03"," 19-20",58.27
"05-03"," 18-19",63.56
"05-03"," 17-18",70.64
"05-03"," 16-17",72.47
"05-03"," 15-16",84.83
"05-03"," 14-15",97.13
"05-03"," 13-14",87.2
"05-03"," 12-13",89.59
"05-03"," 11-12",80.42
"05-03"," 10-11",88.88
"05-03","  9-10",62.73
"05-03","  8- 9",47.86
"05-03","  7- 8",26.74
"05-03","  6- 7",23.8
"05-03","  5- 6",15.68
"05-03","  4- 5",13.71
"05-03","  3- 4",17.94
"05-03","  2- 3",19.54
"05-03","  1- 2",30.49
"05-03","  0- 1",42.46
"04-03"," 23-24",54.28
"04-03"," 22-23",43.95
"04-03"," 21-22",61.98
"04-03"," 20-21",64.45
"04-03"," 19-20",89.55
"04-03"," 18-19",116.41
"04-03"," 17-18",123.94
"04-03"," 16-17",150.07
"04-03"," 15-16",137
"04-03"," 14-15",137.07
"04-03"," 13-14",135.01
"04-03"," 12-13",174.18
"04-03"," 11-12",172.49
"04-03"," 10-11",203.91
"04-03","  9-10",198.15
"04-03","  8- 9",171.94
"04-03","  7- 8",159.87
"04-03","  6- 7",87.43
"04-03","  5- 6",55.29
"04-03","  4- 5",43.73
"04-03","  3- 4",27.46
"04-03","  2- 3",29.63
"04-03","  1- 2",28.59
"04-03","  0- 1",46.48
"03-03"," 23-24",63.79
"03-03"," 22-23",104.69
"03-03"," 21-22",126
"03-03"," 20-21",121.74
"03-03"," 19-20",128.72
"03-03"," 18-19",121.77
"03-03"," 17-18",104.41
"03-03"," 16-17",135.13
"03-03"," 15-16",181.18
"03-03"," 14-15",161.84
"03-03"," 13-14",163.73
"03-03"," 12-13",212.81
"03-03"," 11-12",243.99
"03-03"," 10-11",317.64
"03-03","  9-10",279.81
"03-03","  8- 9",259.71
"03-03","  7- 8",233.26
"03-03","  6- 7",176
"03-03","  5- 6",102.71
"03-03","  4- 5",48.97
"03-03","  3- 4",38
"03-03","  2- 3",30.31
"03-03","  1- 2",30.42
"03-03","  0- 1",23.94
"02-03"," 23-24",19.63
"02-03"," 22-23",21.82
"02-03"," 21-22",30.32
"02-03"," 20-21",42.65
"02-03"," 19-20",71.32
"02-03"," 18-19",87.17
"02-03"," 17-18",85.12
"02-03"," 16-17",90.16
"02-03"," 15-16",102.31
"02-03"," 14-15",102.46
"02-03"," 13-14",113.49
"02-03"," 12-13",105.25
"02-03"," 11-12",112.01
"02-03"," 10-11",122.76
"02-03","  9-10",99.3
"02-03","  8- 9",103.8
"02-03","  7- 8",95.65
"02-03","  6- 7",74
"02-03","  5- 6",38.57
"02-03","  4- 5",19.43
"02-03","  3- 4",15.2
"02-03","  2- 3",13.77
"02-03","  1- 2",14.95
"02-03","  0- 1",15.27
"01-03"," 23-24",20.06
"01-03"," 22-23",36.8
"01-03"," 21-22",29.43
"01-03"," 20-21",39.15
"01-03"," 19-20",53.56
"01-03"," 18-19",70.44
"01-03"," 17-18",82.02
"01-03"," 16-17",94.71
"01-03"," 15-16",91.77
"01-03"," 14-15",103.45
"01-03"," 13-14",132.77
"01-03"," 12-13",131.98
"01-03"," 11-12",170.17
"01-03"," 10-11",163.75
"01-03","  9-10",200.97
"01-03","  8- 9",203.9
"01-03","  7- 8",267.14
"01-03","  6- 7",234.92
"01-03","  5- 6",107.63
"01-03","  4- 5",37.06
"01-03","  3- 4",33.3
"01-03","  2- 3",29.22
"01-03","  1- 2",23.38
"01-03","  0- 1",29.06
"29-02"," 23-24",88.28
"29-02"," 22-23",170.43
"29-02"," 21-22",133.1
"29-02"," 20-21",125.48
"29-02"," 19-20",145.19
"29-02"," 18-19",183.22
"29-02"," 17-18",163.19
"29-02"," 16-17",180.04
"29-02"," 15-16",176.51
"29-02"," 14-15",139.67
"29-02"," 13-14",129.79
"29-02"," 12-13",147.87
"29-02"," 11-12",159.69
"29-02"," 10-11",185.26
"29-02","  9-10",178.68
"29-02","  8- 9",272.99
"29-02","  7- 8",256.22
"29-02","  6- 7",148.1
"29-02","  5- 6",47.21
"29-02","  4- 5",34.08
"29-02","  3- 4",16.65
"29-02","  2- 3",15.71
"29-02","  1- 2",18.34
"29-02","  0- 1",22.26
"28-02"," 23-24",39.98
"28-02"," 22-23",70.7
"28-02"," 21-22",87.81
"28-02"," 20-21",108.28
"28-02"," 19-20",62.59
"28-02"," 18-19",88.54
"28-02"," 17-18",61.98
"28-02"," 16-17",84.76
"28-02"," 15-16",114.99
"28-02"," 14-15",95.55
"28-02"," 13-14",95.84
"28-02"," 12-13",87.66
"28-02"," 11-12",90.39
"28-02"," 10-11",80.99
"28-02","  9-10",72.83
"28-02","  8- 9",51.25
"28-02","  7- 8",34.68
"28-02","  6- 7",36.02
"28-02","  5- 6",33.12
"28-02","  4- 5",41.16
"28-02","  3- 4",51.91
"28-02","  2- 3",50.67
"28-02","  1- 2",69.3
"28-02","  0- 1",92.1
"27-02"," 23-24",96.9
"27-02"," 22-23",80.56
"27-02"," 21-22",63.16
"27-02"," 20-21",77.78
"27-02"," 19-20",115.31
"27-02"," 18-19",151.24
"27-02"," 17-18",128.35
"27-02"," 16-17",60.61
"27-02"," 15-16",62.72
"27-02"," 14-15",40.72
"27-02"," 13-14",126.03
"27-02"," 12-13",131.44
"27-02"," 11-12",138.03
"27-02"," 10-11",101.95
"27-02","  9-10",125.86
"27-02","  8- 9",110.2
"27-02","  7- 8",154.3
"27-02","  6- 7",110.3
"27-02","  5- 6",98.31
"27-02","  4- 5",52.49
"27-02","  3- 4",63.95
"27-02","  2- 3",61.23
"27-02","  1- 2",47.22
"27-02","  0- 1",61.4
"26-02"," 23-24",61.75
"26-02"," 22-23",45.89
"26-02"," 21-22",63.72
"26-02"," 20-21",129.06
"26-02"," 19-20",100.03
"26-02"," 18-19",135.54
"26-02"," 17-18",62.41
"26-02"," 16-17",22.6
"26-02"," 15-16",24.86
"26-02"," 14-15",15.23
"26-02"," 13-14",15.11
"26-02"," 12-13",22.66
"26-02"," 11-12",31.7
"26-02"," 10-11",38.15
"26-02","  9-10",68.79
"26-02","  8- 9",148.57
"26-02","  7- 8",189.92
"26-02","  6- 7",83.04
"26-02","  5- 6",42.5
"26-02","  4- 5",38.35
"26-02","  3- 4",20.83
"26-02","  2- 3",20.79
"26-02","  1- 2",24.21
"26-02","  0- 1",28.86
"25-02"," 23-24",39.21
"25-02"," 22-23",55.81
"25-02"," 21-22",52.97
"25-02"," 20-21",68.55
"25-02"," 19-20",96.59
"25-02"," 18-19",63.55
"25-02"," 17-18",34.51
"25-02"," 16-17",55.94
"25-02"," 15-16",56.22
"25-02"," 14-15",72.28
"25-02"," 13-14",64.65
"25-02"," 12-13",48.58
"25-02"," 11-12",36.18
"25-02"," 10-11",66.29
"25-02","  9-10",98.7
"25-02","  8- 9",95.8
"25-02","  7- 8",132.47
"25-02","  6- 7",118.85
"25-02","  5- 6",31.47
"25-02","  4- 5",18.25
"25-02","  3- 4",10
"25-02","  2- 3",10.29
"25-02","  1- 2",11.58
"25-02","  0- 1",17.86
"24-02"," 23-24",30.5
"24-02"," 22-23",42.48
"24-02"," 21-22",42.2
"24-02"," 20-21",40.54
"24-02"," 19-20",63.16
"24-02"," 18-19",43.77
"24-02"," 17-18",39.72
"24-02"," 16-17",22.37
"24-02"," 15-16",35.19
"24-02"," 14-15",23.43
"24-02"," 13-14",27.23
"24-02"," 12-13",16.41
"24-02"," 11-12",28.17
"24-02"," 10-11",24.27
"24-02","  9-10",27.82
"24-02","  8- 9",33.27
"24-02","  7- 8",27.96
"24-02","  6- 7",18.4
"24-02","  5- 6",11.66
"24-02","  4- 5",4.4
"24-02","  3- 4",3.57
"24-02","  2- 3",6.26
"24-02","  1- 2",8.18
"24-02","  0- 1",9.22
"23-02"," 23-24",13.86
"23-02"," 22-23",18.3
"23-02"," 21-22",20.02
"23-02"," 20-21",20.41
"23-02"," 19-20",18.41
"23-02"," 18-19",23.22
"23-02"," 17-18",24.35
"23-02"," 16-17",28.48
"23-02"," 15-16",20.25
"23-02"," 14-15",26.83
"23-02"," 13-14",26.1
"23-02"," 12-13",36.53
"23-02"," 11-12",37.73
"23-02"," 10-11",37.36
"23-02","  9-10",51.16
"23-02","  8- 9",78.69
"23-02","  7- 8",87.86
"23-02","  6- 7",49.55
"23-02","  5- 6",17.92
"23-02","  4- 5",9.44
"23-02","  3- 4",6.5
"23-02","  2- 3",4.75
"23-02","  1- 2",6.26
"23-02","  0- 1",5.41
"22-02"," 23-24",6.54
"22-02"," 22-23",14.25
"22-02"," 21-22",23.38
"22-02"," 20-21",26.09
"22-02"," 19-20",28.46
"22-02"," 18-19",35.34
"22-02"," 17-18",30.05
"22-02"," 16-17",50.21
"22-02"," 15-16",49.01
"22-02"," 14-15",33.29
"22-02"," 13-14",19.96
"22-02"," 12-13",23.01
"22-02"," 11-12",28.18
"22-02"," 10-11",31.22
"22-02","  9-10",38.34
"22-02","  8- 9",46.25
"22-02","  7- 8",43.42
"22-02","  6- 7",39.16
"22-02","  5- 6",8.17
"22-02","  4- 5",7.86
"22-02","  3- 4",6.45
"22-02","  2- 3",5.57
"22-02","  1- 2",8.78
"22-02","  0- 1",17.8
"21-02"," 23-24",20.72
"21-02"," 22-23",47.59
"21-02"," 21-22",56.1
"21-02"," 20-21",55.39
"21-02"," 19-20",46.17
"21-02"," 18-19",54.39
"21-02"," 17-18",44.6
"21-02"," 16-17",37.93
"21-02"," 15-16",44.03
"21-02"," 14-15",33.92
"21-02"," 13-14",39.36
"21-02"," 12-13",30.46
"21-02"," 11-12",24.75
"21-02"," 10-11",24.61
"21-02","  9-10",15.92
"21-02","  8- 9",7.82
"21-02","  7- 8",7.61
"21-02","  6- 7",9.31
"21-02","  5- 6",9.1
"21-02","  4- 5",11.33
"21-02","  3- 4",14.34
"21-02","  2- 3",20.96
"21-02","  1- 2",30.45
"21-02","  0- 1",38.63
"20-02"," 23-24",45.68
"20-02"," 22-23",40.26
"20-02"," 21-22",45.02
"20-02"," 20-21",41.03
"20-02"," 19-20",65.52
"20-02"," 18-19",76.89
"20-02"," 17-18",75.2
"20-02"," 16-17",71.03
"20-02"," 15-16",59.3
"20-02"," 14-15",102.49
"20-02"," 13-14",77.85
"20-02"," 12-13",79.27
"20-02"," 11-12",70.63
"20-02"," 10-11",44.01
"20-02","  9-10",42.83
"20-02","  8- 9",39.35
"20-02","  7- 8",38.62
"20-02","  6- 7",23.54
"20-02","  5- 6",26.55
"20-02","  4- 5",21.7
"20-02","  3- 4",25.51
"20-02","  2- 3",31.99
"20-02","  1- 2",36.45
"20-02","  0- 1",40.57
"19-02"," 23-24",52.06
"19-02"," 22-23",66.92
"19-02"," 21-22",79.85
"19-02"," 20-21",93.82
"19-02"," 19-20",106.46
"19-02"," 18-19",118.79
"19-02"," 17-18",110.91
"19-02"," 16-17",120.25
"19-02"," 15-16",132.98
"19-02"," 14-15",138.67
"19-02"," 13-14",150.44
"19-02"," 12-13",159.8
"19-02"," 11-12",205.47
"19-02"," 10-11",235.98
"19-02","  9-10",262.07
"19-02","  8- 9",307.6
"19-02","  7- 8",308.29
"19-02","  6- 7",330.64
"19-02","  5- 6",124.68
"19-02","  4- 5",72.9
"19-02","  3- 4",49.74
"19-02","  2- 3",39.88
"19-02","  1- 2",49.05
"19-02","  0- 1",67.25
"18-02"," 23-24",102.51
"18-02"," 22-23",133.54
"18-02"," 21-22",155.04
"18-02"," 20-21",124.6
"18-02"," 19-20",137.16
"18-02"," 18-19",114.85
"18-02"," 17-18",148.76
"18-02"," 16-17",151.93
"18-02"," 15-16",151.16
"18-02"," 14-15",182
"18-02"," 13-14",164.81
"18-02"," 12-13",173.16
"18-02"," 11-12",211.1
"18-02"," 10-11",212.09
"18-02","  9-10",251.39
"18-02","  8- 9",234.08
"18-02","  7- 8",202.86
"18-02","  6- 7",150.16
"18-02","  5- 6",82.53
"18-02","  4- 5",79.35
"18-02","  3- 4",29.53
"18-02","  2- 3",31.21
"18-02","  1- 2",28.43
"18-02","  0- 1",22.24
"17-02"," 23-24",31.81
"17-02"," 22-23",48.28
"17-02"," 21-22",95.21
"17-02"," 20-21",69.01
"17-02"," 19-20",84.37
"17-02"," 18-19",87.19
"17-02"," 17-18",113.21
"17-02"," 16-17",121.57
"17-02"," 15-16",125.4
"17-02"," 14-15",99.61
"17-02"," 13-14",82.69
"17-02"," 12-13",84.98
"17-02"," 11-12",89.86
"17-02"," 10-11",98.98
"17-02","  9-10",118.36
"17-02","  8- 9",119.74
"17-02","  7- 8",135.62
"17-02","  6- 7",103.01
"17-02","  5- 6",41.63
"17-02","  4- 5",21.88
"17-02","  3- 4",21.39
"17-02","  2- 3",17.89
"17-02","  1- 2",25.5
"17-02","  0- 1",24.47
"16-02"," 23-24",64.1
"16-02"," 22-23",110.53
"16-02"," 21-22",122.01
"16-02"," 20-21",111.84
"16-02"," 19-20",154.9
"16-02"," 18-19",170.49
"16-02"," 17-18",224.64
"16-02"," 16-17",207.14
"16-02"," 15-16",206.57
"16-02"," 14-15",197.73
"16-02"," 13-14",223.43
"16-02"," 12-13",171.1
"16-02"," 11-12",168.59
"16-02"," 10-11",168.02
"16-02","  9-10",201.24
"16-02","  8- 9",231.26
"16-02","  7- 8",365.33
"16-02","  6- 7",234.12
"16-02","  5- 6",34.63
"16-02","  4- 5",18.51
"16-02","  3- 4",13.01
"16-02","  2- 3",17.97
"16-02","  1- 2",20.06
"16-02","  0- 1",23.89
"15-02"," 23-24",29.32
"15-02"," 22-23",50.24
"15-02"," 21-22",53.57
"15-02"," 20-21",50.74
"15-02"," 19-20",70.65
"15-02"," 18-19",48.05
"15-02"," 17-18",45.07
"15-02"," 16-17",35.2
"15-02"," 15-16",45.94
"15-02"," 14-15",45.27
"15-02"," 13-14",40.27
"15-02"," 12-13",44.6
"15-02"," 11-12",117.29
"15-02"," 10-11",100.07
"15-02","  9-10",157.18
"15-02","  8- 9",168.7
"15-02","  7- 8",149.23
"15-02","  6- 7",85.39
"15-02","  5- 6",30.68
"15-02","  4- 5",16.54
"15-02","  3- 4",14.33
"15-02","  2- 3",12.52
"15-02","  1- 2",15.9
"15-02","  0- 1",21.17
"14-02"," 23-24",25.09
"14-02"," 22-23",42.42
"14-02"," 21-22",49.63
"14-02"," 20-21",55.66
"14-02"," 19-20",62.13
"14-02"," 18-19",74.47
"14-02"," 17-18",80.49
"14-02"," 16-17",70.42
"14-02"," 15-16",68.3
"14-02"," 14-15",69.99
"14-02"," 13-14",77.3
"14-02"," 12-13",77.44
"14-02"," 11-12",71.83
"14-02"," 10-11",62.93
"14-02","  9-10",46.14
"14-02","  8- 9",27.97
"14-02","  7- 8",25.06
"14-02","  6- 7",29.91
"14-02","  5- 6",27.43
"14-02","  4- 5",22.07
"14-02","  3- 4",28.59
"14-02","  2- 3",38.54
"14-02","  1- 2",42.7
"14-02","  0- 1",42.29
"13-02"," 23-24",66.79
"13-02"," 22-23",66.27
"13-02"," 21-22",49.97
"13-02"," 20-21",75.14
"13-02"," 19-20",90.21
"13-02"," 18-19",104.11
"13-02"," 17-18",92.09
"13-02"," 16-17",117.49
"13-02"," 15-16",115.85
"13-02"," 14-15",117.21
"13-02"," 13-14",110.97
"13-02"," 12-13",137.87
"13-02"," 11-12",143.14
"13-02"," 10-11",129.55
"13-02","  9-10",91.13
"13-02","  8- 9",69.27
"13-02","  7- 8",49.19
"13-02","  6- 7",63.83
"13-02","  5- 6",47.35
"13-02","  4- 5",47.33
"13-02","  3- 4",35.76
"13-02","  2- 3",57.22
"13-02","  1- 2",62.78
"13-02","  0- 1",99.49
